IDPromo,IDBillet,IDPromotion,TauxPromotion,DateDebut,DateFin
4382,12521,1,26.04,2024-08-06,2024-08-23
4383,12529,1,6.81,2024-09-12,2024-10-04
4384,12532,2,31.89,2024-08-16,2024-09-03
4385,12539,3,8.57,2023-03-27,2023-04-16
4386,12547,1,8.1,2023-05-09,2023-05-30
4387,12548,1,31.56,2023-04-22,2023-05-12
4388,12549,1,15.56,2023-04-15,2023-05-02
4389,12550,3,13.98,2023-05-11,2023-06-06
4390,12553,3,28.82,2024-04-05,2024-04-21
4391,12556,1,10.69,2024-01-23,2024-02-08
4392,12558,3,8.59,2024-03-16,2024-04-04
4393,12559,3,10.92,2024-01-23,2024-02-18
4394,12562,3,30.36,2024-01-22,2024-02-06
4395,12564,3,15.99,2024-03-26,2024-04-15
4396,12569,3,30.21,2024-02-05,2024-02-18
4397,12571,3,5.73,2024-08-11,2024-08-27
4398,12573,1,22.79,2024-06-21,2024-07-11
4399,12574,1,33.36,2024-06-16,2024-07-11
4400,12579,3,20.63,2024-08-16,2024-09-01
4401,12581,1,25.56,2024-07-25,2024-08-16
4402,12582,1,10.99,2024-06-30,2024-07-16
4403,12585,1,13.12,2024-07-21,2024-08-04
4404,12590,2,20.67,2024-07-02,2024-07-21
4405,12591,1,30.41,2024-06-08,2024-06-23
4406,12592,3,17.37,2023-03-10,2023-04-01
4407,12593,2,11.61,2023-03-28,2023-04-12
4408,12596,1,16.25,2023-03-13,2023-03-28
4409,12597,3,28.07,2023-03-07,2023-03-22
4410,12600,3,21.01,2023-02-17,2023-03-07
4411,12604,3,27.26,2023-02-18,2023-03-09
4412,12609,1,13.39,2024-05-14,2024-06-03
4413,12615,3,5.85,2024-04-10,2024-05-01
4414,12616,2,26.85,2024-05-07,2024-06-03
4415,12618,1,18.42,2024-06-12,2024-07-04
4416,12619,3,26.14,2024-05-07,2024-05-25
4417,12624,2,33.58,2022-07-30,2022-08-09
4418,12632,3,8.22,2022-07-20,2022-08-04
4419,12633,2,30.37,2022-07-19,2022-08-10
4420,12636,1,34.77,2024-01-11,2024-01-25
4421,12637,2,22.75,2024-01-21,2024-02-09
4422,12639,3,25.43,2023-11-30,2023-12-19
4423,12644,3,30.48,2023-12-02,2023-12-17
4424,12645,2,29.71,2024-02-05,2024-02-18
4425,12647,3,15.5,2022-12-08,2023-01-02
4426,12650,3,18.05,2022-11-26,2022-12-16
4427,12654,1,25.06,2022-12-03,2022-12-28
4428,12657,1,15.77,2022-12-01,2022-12-23
4429,12660,1,22.82,2022-10-22,2022-11-11
4430,12664,1,5.32,2024-08-05,2024-08-29
4431,12670,3,29.03,2024-10-05,2024-10-25
4432,12672,1,13.87,2024-08-03,2024-08-18
4433,12674,2,22.69,2024-09-24,2024-10-12
4434,12677,1,31.24,2022-06-27,2022-07-18
4435,12684,1,29.13,2022-09-18,2022-10-07
4436,12685,1,5.02,2022-08-14,2022-09-05
4437,12688,2,33.69,2022-03-14,2022-03-28
4438,12689,3,15.95,2022-04-04,2022-04-23
4439,12693,1,32.33,2022-02-10,2022-03-03
4440,12695,2,26.66,2022-03-06,2022-03-30
4441,12697,2,34.32,2022-03-25,2022-04-13
4442,12705,1,30.61,2023-05-09,2023-05-28
4443,12706,2,32.71,2023-04-05,2023-05-02
4444,12708,1,15.16,2023-05-17,2023-06-03
4445,12711,2,28.68,2023-06-19,2023-07-04
4446,12716,2,10.98,2024-04-06,2024-04-27
4447,12719,3,29.68,2024-02-28,2024-03-20
4448,12721,3,18.76,2024-04-08,2024-04-23
4449,12722,3,32.89,2024-02-27,2024-03-24
4450,12724,2,33.32,2024-01-19,2024-02-08
4451,12726,2,26.48,2024-02-09,2024-03-05
4452,12728,2,18.81,2024-03-24,2024-04-11
4453,12736,1,17.33,2023-10-08,2023-10-24
4454,12738,3,28.64,2023-09-13,2023-10-04
4455,12739,3,23.33,2023-09-21,2023-10-03
4456,12741,2,15.37,2023-08-21,2023-09-03
4457,12742,3,22.13,2023-08-23,2023-09-15
4458,12743,3,26.86,2023-10-08,2023-10-26
4459,12744,2,24.73,2023-08-13,2023-08-27
4460,12747,1,34.74,2023-10-27,2023-11-17
4461,12754,2,17.72,2024-08-25,2024-09-07
4462,12755,3,6.04,2024-09-02,2024-09-26
4463,12757,1,26.93,2024-09-06,2024-09-21
4464,12760,1,24.14,2024-08-05,2024-08-26
4465,12762,1,15.71,2024-09-08,2024-09-22
4466,12764,3,26.51,2024-08-13,2024-08-26
4467,12770,3,22.59,2023-04-04,2023-04-28
4468,12771,1,15.69,2023-04-01,2023-04-25
4469,12775,3,32.02,2023-03-26,2023-04-16
4470,12777,1,33.59,2023-03-18,2023-04-06
4471,12781,2,19.03,2023-04-19,2023-05-08
4472,12787,1,8.28,2021-11-14,2021-12-05
4473,12790,3,12.2,2021-11-22,2021-12-09
4474,12795,1,26.33,2021-10-27,2021-11-15
4475,12796,3,22.67,2021-12-03,2021-12-26
4476,12800,2,26.97,2023-05-10,2023-05-25
4477,12801,1,13.69,2023-04-28,2023-05-17
4478,12804,1,19.63,2023-06-15,2023-07-03
4479,12806,2,11.73,2023-07-05,2023-07-21
4480,12811,3,17.45,2023-05-02,2023-05-28
4481,12814,3,24.38,2023-05-10,2023-06-05
4482,12816,2,16.53,2023-07-24,2023-08-15
4483,12823,3,33.73,2023-07-31,2023-08-12
4484,12824,3,15.3,2023-06-18,2023-07-08
4485,12825,2,24.9,2023-07-11,2023-07-24
4486,12829,3,12.78,2023-06-02,2023-06-13
4487,12830,3,14.18,2023-06-10,2023-07-02
4488,12833,2,19.44,2024-08-16,2024-09-04
4489,12835,3,8.42,2024-08-28,2024-09-21
4490,12837,3,30.04,2024-08-05,2024-08-20
4491,12843,3,13.24,2024-08-15,2024-08-30
4492,12848,1,27.42,2022-07-23,2022-08-09
4493,12852,3,33.0,2022-07-18,2022-07-31
4494,12853,1,34.98,2022-08-11,2022-08-24
4495,12855,2,9.62,2022-08-05,2022-08-29
4496,12856,2,33.06,2024-04-22,2024-05-06
4497,12858,2,15.06,2024-04-15,2024-05-04
4498,12860,1,13.9,2024-03-21,2024-04-11
4499,12864,2,28.15,2024-05-11,2024-05-30
4500,12867,3,32.38,2024-06-01,2024-06-14
4501,12868,3,29.14,2024-04-29,2024-05-15
4502,12869,2,20.22,2024-04-25,2024-05-16
4503,12870,3,23.6,2024-05-13,2024-05-28
4504,12875,3,7.15,2024-06-18,2024-07-07
4505,12877,2,9.0,2024-06-12,2024-07-02
4506,12879,2,16.65,2024-06-27,2024-07-16
4507,12880,1,25.01,2024-06-28,2024-07-18
4508,12884,1,11.68,2024-08-03,2024-08-25
4509,12885,1,34.23,2024-06-28,2024-07-25
4510,12887,2,11.86,2024-06-07,2024-07-01
4511,12889,2,16.91,2024-07-25,2024-08-11
4512,12890,1,33.12,2023-10-18,2023-11-12
4513,12896,3,16.09,2023-08-30,2023-09-17
4514,12898,1,33.47,2023-08-26,2023-09-12
4515,12899,1,27.66,2023-10-19,2023-11-09
4516,12905,3,34.99,2023-09-23,2023-10-19
4517,12906,2,25.29,2023-10-11,2023-10-30
4518,12908,1,13.41,2023-11-01,2023-11-25
4519,12912,1,10.96,2023-08-10,2023-09-01
4520,12917,1,29.82,2023-09-07,2023-09-22
4521,12919,1,15.24,2023-08-30,2023-09-15
4522,12920,3,30.32,2023-10-07,2023-10-21
4523,12921,3,12.88,2023-09-16,2023-10-01
4524,12923,2,28.63,2023-09-17,2023-10-06
4525,12925,2,7.81,2023-12-17,2023-12-31
4526,12929,1,5.01,2024-01-06,2024-01-25
4527,12939,1,25.12,2024-04-16,2024-05-06
4528,12944,2,20.45,2024-05-22,2024-06-11
4529,12945,1,19.99,2024-05-09,2024-05-26
4530,12947,1,27.17,2024-06-18,2024-07-03
4531,12950,1,33.52,2023-09-17,2023-10-13
4532,12951,1,33.44,2023-08-07,2023-09-01
4533,12953,1,9.24,2023-08-02,2023-08-21
4534,12954,2,6.17,2023-09-11,2023-09-29
4535,12959,1,9.88,2023-08-30,2023-09-24
4536,12961,2,10.56,2023-08-27,2023-09-17
4537,12962,1,6.74,2023-08-03,2023-08-25
4538,12963,1,29.74,2023-08-02,2023-08-18
4539,12965,2,26.42,2023-08-16,2023-09-04
4540,12966,2,27.92,2023-08-18,2023-09-12
4541,12969,2,28.8,2022-10-16,2022-11-05
4542,12973,3,22.71,2022-11-19,2022-12-02
4543,12974,3,16.57,2022-12-16,2023-01-02
4544,12977,3,15.42,2022-10-27,2022-11-13
4545,12985,1,10.43,2023-03-22,2023-04-14
4546,12990,3,15.94,2023-03-12,2023-04-01
4547,12993,1,23.62,2023-03-24,2023-04-10
4548,12996,3,22.54,2023-02-18,2023-03-01
4549,12997,2,20.26,2023-02-09,2023-02-20
4550,13007,1,24.72,2023-11-11,2023-12-03
4551,13008,2,9.95,2023-12-14,2024-01-05
4552,13013,1,33.29,2024-02-01,2024-02-17
4553,13017,3,28.3,2024-01-02,2024-01-28
4554,13019,2,25.52,2023-01-21,2023-02-05
4555,13020,3,33.39,2023-02-03,2023-02-20
4556,13022,3,20.82,2023-01-09,2023-01-24
4557,13023,2,27.66,2023-03-26,2023-04-18
4558,13026,3,21.41,2023-02-12,2023-02-25
4559,13027,3,19.48,2023-02-21,2023-03-14
4560,13029,3,31.89,2023-01-26,2023-02-18
4561,13030,3,25.49,2023-03-02,2023-03-18
4562,13034,3,34.76,2024-02-29,2024-03-15
4563,13035,2,6.98,2024-02-13,2024-03-05
4564,13037,2,21.15,2024-03-10,2024-03-26
4565,13042,3,25.63,2024-03-24,2024-04-12
4566,13045,2,33.09,2024-02-17,2024-03-05
4567,13046,3,14.07,2024-03-10,2024-03-27
4568,13048,2,33.61,2024-03-06,2024-03-26
4569,13049,1,5.96,2024-03-21,2024-04-08
4570,13051,2,10.05,2024-04-01,2024-04-16
4571,13052,3,25.9,2022-02-11,2022-03-04
4572,13054,1,33.94,2022-01-11,2022-01-25
4573,13055,1,7.59,2022-01-29,2022-02-17
4574,13058,2,17.85,2022-01-14,2022-02-01
4575,13059,3,13.52,2022-02-15,2022-02-26
4576,13066,1,15.09,2023-08-07,2023-09-01
4577,13067,3,6.71,2023-07-12,2023-08-03
4578,13069,2,28.37,2023-09-18,2023-09-30
4579,13072,2,13.14,2023-08-24,2023-09-11
4580,13074,1,18.59,2023-09-04,2023-09-18
4581,13075,1,14.67,2023-09-23,2023-10-07
4582,13084,2,10.87,2024-07-07,2024-07-29
4583,13091,3,20.47,2024-06-16,2024-07-08
4584,13094,2,30.96,2024-07-11,2024-08-01
4585,13095,3,16.59,2023-11-17,2023-12-05
4586,13098,2,23.21,2023-12-18,2024-01-04
4587,13099,1,30.37,2023-12-08,2023-12-20
4588,13103,1,31.71,2023-11-22,2023-12-15
4589,13104,2,10.22,2023-11-05,2023-11-21
4590,13107,3,23.67,2023-11-11,2023-11-25
4591,13110,3,8.69,2023-12-16,2024-01-11
4592,13111,1,29.04,2023-12-18,2024-01-12
4593,13116,2,12.86,2023-12-10,2023-12-25
4594,13118,2,13.66,2024-01-16,2024-02-08
4595,13119,3,9.32,2023-11-11,2023-12-08
4596,13121,2,7.04,2024-01-21,2024-02-11
4597,13123,1,32.84,2024-01-20,2024-02-01
4598,13127,1,9.02,2022-08-05,2022-08-26
4599,13128,1,28.73,2022-09-05,2022-09-26
4600,13144,1,12.11,2024-07-15,2024-08-05
4601,13145,1,7.1,2024-08-20,2024-09-12
4602,13153,3,5.78,2024-09-03,2024-09-22
4603,13156,2,20.71,2024-08-26,2024-09-18
4604,13163,2,26.97,2021-12-09,2021-12-23
4605,13166,2,20.99,2021-12-21,2022-01-05
4606,13171,2,6.36,2022-01-04,2022-01-28
4607,13172,1,32.56,2021-12-19,2022-01-07
4608,13173,2,21.07,2021-12-20,2022-01-05
4609,13176,3,29.66,2022-07-15,2022-08-02
4610,13177,2,34.69,2022-08-03,2022-08-22
4611,13182,1,29.42,2022-07-20,2022-08-01
4612,13184,2,30.38,2022-06-16,2022-07-01
4613,13185,1,17.3,2022-06-03,2022-06-21
4614,13192,2,22.59,2024-07-06,2024-07-25
4615,13194,1,15.7,2024-10-02,2024-10-19
4616,13196,1,30.05,2024-08-29,2024-09-19
4617,13198,1,11.8,2024-08-04,2024-08-18
4618,13204,3,31.35,2023-08-28,2023-09-21
4619,13206,3,27.71,2023-09-23,2023-10-07
4620,13207,1,23.18,2023-09-06,2023-09-28
4621,13209,1,11.96,2023-10-02,2023-10-22
4622,13211,2,29.99,2023-09-22,2023-10-12
4623,13213,2,31.37,2023-10-10,2023-10-28
4624,13219,3,22.26,2022-05-17,2022-06-06
4625,13222,3,8.11,2022-05-03,2022-05-23
4626,13224,1,24.56,2022-04-27,2022-05-15
4627,13228,3,9.26,2022-05-13,2022-05-24
4628,13230,1,7.14,2022-04-17,2022-05-03
4629,13231,2,13.74,2022-05-13,2022-06-02
4630,13233,3,14.83,2022-06-27,2022-07-21
4631,13234,3,9.79,2024-05-08,2024-05-23
4632,13235,3,31.91,2024-05-14,2024-05-29
4633,13239,3,17.41,2024-03-05,2024-03-24
4634,13240,1,23.13,2024-05-20,2024-06-01
4635,13241,1,24.45,2024-05-06,2024-05-27
4636,13242,1,7.16,2024-03-29,2024-04-16
4637,13244,1,18.44,2024-03-09,2024-03-21
4638,13246,2,11.75,2022-05-30,2022-06-13
4639,13252,1,32.29,2022-06-22,2022-07-06
4640,13257,3,18.01,2024-09-16,2024-10-07
4641,13258,1,12.65,2024-09-24,2024-10-14
4642,13260,3,8.07,2024-09-12,2024-10-06
4643,13267,2,14.49,2024-10-04,2024-10-15
4644,13269,1,16.18,2024-11-04,2024-11-28
4645,13272,2,26.59,2024-09-03,2024-09-22
4646,13273,1,18.63,2024-05-19,2024-05-29
4647,13274,2,33.36,2024-05-26,2024-06-21
4648,13275,1,13.4,2024-05-23,2024-06-11
4649,13278,1,5.54,2024-06-30,2024-07-19
4650,13279,2,23.78,2024-05-26,2024-06-11
4651,13280,2,9.44,2024-04-07,2024-04-27
4652,13282,3,17.53,2024-05-05,2024-05-25
4653,13283,3,28.82,2024-05-02,2024-05-22
4654,13284,3,16.95,2024-04-18,2024-05-08
4655,13287,2,19.87,2024-05-24,2024-06-20
4656,13292,2,23.23,2024-05-24,2024-06-14
4657,13299,3,8.28,2021-11-10,2021-11-28
4658,13302,1,34.98,2021-11-22,2021-12-09
4659,13303,1,15.38,2021-12-09,2021-12-25
4660,13305,2,5.06,2021-12-19,2022-01-07
4661,13306,3,26.65,2021-12-14,2022-01-07
4662,13314,2,22.67,2022-07-25,2022-08-12
4663,13318,1,25.41,2024-01-30,2024-02-22
4664,13319,1,20.78,2024-03-07,2024-03-19
4665,13324,1,13.51,2024-03-12,2024-03-27
4666,13325,3,20.12,2024-03-24,2024-04-14
4667,13328,1,7.13,2024-01-31,2024-02-26
4668,13331,3,5.8,2024-01-26,2024-02-19
4669,13332,3,33.42,2024-03-21,2024-04-09
4670,13333,1,10.05,2024-02-08,2024-02-26
4671,13336,2,16.56,2022-09-21,2022-10-05
4672,13337,1,12.0,2022-08-17,2022-09-06
4673,13338,2,10.5,2022-09-30,2022-10-17
4674,13340,1,24.6,2022-09-02,2022-09-16
4675,13343,3,25.73,2022-10-05,2022-10-31
4676,13345,3,34.29,2022-04-24,2022-05-15
4677,13349,1,24.72,2022-04-25,2022-05-21
4678,13353,3,32.51,2022-04-02,2022-04-23
4679,13357,3,21.4,2024-05-04,2024-05-24
4680,13362,2,26.04,2024-06-07,2024-06-25
4681,13363,2,16.01,2024-07-17,2024-08-09
4682,13368,3,17.34,2024-06-30,2024-07-25
4683,13373,3,6.05,2024-07-09,2024-07-28
4684,13376,3,28.05,2023-05-20,2023-06-08
4685,13387,3,20.32,2023-04-23,2023-05-08
4686,13389,3,8.66,2023-04-09,2023-05-03
4687,13390,2,22.18,2023-05-03,2023-05-23
4688,13391,2,17.33,2023-04-30,2023-05-16
4689,13392,2,26.55,2023-04-30,2023-05-23
4690,13394,1,29.84,2023-08-28,2023-09-10
4691,13396,2,13.64,2023-09-11,2023-09-25
4692,13397,2,33.36,2023-08-24,2023-09-12
4693,13399,2,23.37,2023-10-21,2023-11-10
4694,13400,3,31.53,2023-08-27,2023-09-16
4695,13404,1,22.11,2023-09-20,2023-10-13
4696,13411,3,30.78,2024-01-17,2024-02-08
4697,13412,1,16.71,2023-12-19,2024-01-07
4698,13415,2,23.24,2024-02-24,2024-03-19
4699,13417,1,15.62,2024-02-28,2024-03-12
4700,13420,3,8.74,2023-12-10,2023-12-31
4701,13422,1,30.06,2024-01-31,2024-02-14
4702,13425,3,27.66,2024-01-05,2024-01-30
4703,13431,1,7.36,2022-05-08,2022-05-20
4704,13432,2,9.79,2022-03-20,2022-04-09
4705,13433,1,20.03,2022-04-11,2022-04-26
4706,13434,2,27.75,2022-04-17,2022-05-06
4707,13437,2,27.85,2022-03-11,2022-03-30
4708,13438,1,22.96,2022-04-03,2022-04-26
4709,13439,3,14.45,2022-05-02,2022-05-16
4710,13440,1,20.99,2022-05-16,2022-06-06
4711,13445,3,20.66,2022-04-14,2022-04-29
4712,13450,3,5.37,2023-08-04,2023-08-16
4713,13451,1,17.65,2023-08-15,2023-09-05
4714,13472,1,22.79,2024-09-25,2024-10-15
4715,13476,2,34.19,2024-11-24,2024-12-13
4716,13477,3,30.09,2024-10-28,2024-11-14
4717,13478,1,26.61,2024-10-10,2024-10-28
4718,13479,1,8.5,2024-11-26,2024-12-10
4719,13488,2,12.28,2023-11-14,2023-12-01
4720,13489,1,23.5,2023-11-10,2023-12-03
4721,13490,3,21.02,2024-01-01,2024-01-18
4722,13491,3,30.24,2023-11-28,2023-12-21
4723,13493,1,32.55,2023-09-12,2023-10-03
4724,13495,3,16.65,2023-07-05,2023-07-25
4725,13496,3,33.15,2023-08-12,2023-09-03
4726,13504,2,22.64,2024-07-12,2024-08-01
4727,13507,3,10.52,2024-08-16,2024-09-01
4728,13515,1,31.68,2024-08-28,2024-09-11
4729,13516,3,34.58,2024-06-15,2024-07-03
4730,13518,1,7.76,2022-01-29,2022-02-14
4731,13519,1,14.46,2022-01-23,2022-02-14
4732,13520,2,8.77,2022-02-13,2022-03-01
4733,13522,1,21.53,2022-01-10,2022-02-04
4734,13524,2,12.7,2022-02-10,2022-03-04
4735,13525,2,21.16,2022-01-27,2022-02-16
4736,13527,3,31.52,2022-01-19,2022-02-05
4737,13531,1,9.12,2022-03-16,2022-04-05
4738,13532,1,16.22,2022-03-25,2022-04-09
4739,13533,2,33.85,2022-04-28,2022-05-12
4740,13534,2,11.92,2022-03-06,2022-03-26
4741,13535,1,27.0,2022-03-03,2022-03-28
4742,13537,1,6.87,2022-03-05,2022-03-20
4743,13538,2,13.57,2022-02-25,2022-03-18
4744,13546,1,13.62,2023-03-24,2023-04-07
4745,13547,1,10.72,2023-01-15,2023-02-06
4746,13548,3,17.0,2023-02-14,2023-03-02
4747,13550,3,5.89,2023-03-15,2023-04-07
4748,13556,2,27.81,2023-02-20,2023-03-10
4749,13557,2,6.14,2023-05-16,2023-05-30
4750,13559,2,22.49,2023-07-07,2023-07-23
4751,13561,3,19.27,2023-05-19,2023-06-08
4752,13563,2,27.02,2023-05-05,2023-05-22
4753,13564,1,34.84,2023-05-31,2023-06-17
4754,13565,2,17.86,2023-06-03,2023-06-23
4755,13566,3,13.01,2023-05-11,2023-06-02
4756,13572,3,19.15,2023-04-29,2023-05-16
4757,13574,2,34.1,2022-12-23,2023-01-14
4758,13576,2,20.05,2023-01-28,2023-02-15
4759,13577,1,8.64,2023-01-21,2023-02-12
4760,13580,3,19.92,2023-01-14,2023-02-03
4761,13581,1,6.77,2023-03-25,2023-04-13
4762,13583,2,24.18,2023-02-03,2023-02-25
4763,13586,2,14.55,2022-12-30,2023-01-22
4764,13588,3,13.38,2023-02-11,2023-03-09
4765,13589,3,10.89,2022-04-30,2022-05-18
4766,13597,3,22.8,2022-04-19,2022-05-08
4767,13608,1,32.38,2024-02-27,2024-03-17
4768,13609,1,10.66,2024-02-27,2024-03-15
4769,13611,1,32.96,2024-03-04,2024-03-22
4770,13612,2,6.51,2024-04-16,2024-05-03
4771,13622,1,8.58,2022-05-28,2022-06-23
4772,13624,2,17.32,2022-06-13,2022-06-26
4773,13625,1,29.67,2022-04-15,2022-04-29
4774,13627,2,6.76,2022-04-24,2022-05-13
4775,13628,2,28.3,2022-06-22,2022-07-11
4776,13629,1,6.33,2022-05-08,2022-05-26
4777,13642,2,34.54,2022-05-27,2022-06-16
4778,13646,2,11.61,2024-05-15,2024-06-05
4779,13653,2,6.6,2024-06-09,2024-06-20
4780,13654,3,28.17,2024-03-25,2024-04-09
4781,13661,3,14.09,2022-10-26,2022-11-06
4782,13662,1,5.27,2022-10-05,2022-10-20
4783,13664,2,32.9,2022-08-21,2022-09-12
4784,13668,2,17.02,2022-09-19,2022-10-07
4785,13673,2,8.74,2022-11-13,2022-12-01
4786,13677,3,34.9,2023-06-23,2023-07-15
4787,13679,1,23.43,2023-06-18,2023-07-14
4788,13680,1,21.19,2023-08-08,2023-08-18
4789,13682,1,30.21,2023-08-12,2023-09-03
4790,13683,2,8.86,2023-07-24,2023-08-16
4791,13686,2,19.9,2023-06-20,2023-07-16
4792,13689,2,14.27,2023-06-25,2023-07-13
4793,13690,1,17.87,2023-06-29,2023-07-17
4794,13691,2,14.27,2023-05-26,2023-06-14
4795,13693,2,20.32,2023-06-20,2023-07-07
4796,13694,3,25.62,2021-12-22,2022-01-14
4797,13699,1,29.73,2021-12-23,2022-01-08
4798,13700,1,24.39,2022-01-26,2022-02-17
4799,13701,1,7.22,2021-12-13,2022-01-07
4800,13702,2,18.59,2021-11-20,2021-12-05
4801,13706,3,20.92,2021-12-22,2022-01-12
4802,13708,3,13.54,2022-02-01,2022-02-22
4803,13709,1,28.08,2022-02-03,2022-02-17
4804,13710,2,14.37,2022-02-20,2022-03-11
4805,13711,3,30.56,2022-01-25,2022-02-08
4806,13712,1,15.43,2022-01-21,2022-02-06
4807,13719,3,10.64,2023-07-20,2023-08-08
4808,13722,2,18.56,2023-08-02,2023-08-30
4809,13729,2,21.48,2022-02-20,2022-03-18
4810,13733,2,5.4,2022-03-16,2022-03-28
4811,13735,2,27.76,2023-07-12,2023-07-31
4812,13743,2,25.0,2023-06-01,2023-06-23
4813,13744,3,12.32,2023-07-14,2023-08-04
4814,13747,2,23.55,2023-07-20,2023-08-06
4815,13749,2,11.72,2023-06-12,2023-07-04
4816,13752,1,31.58,2023-10-16,2023-10-31
4817,13753,1,19.91,2023-11-02,2023-11-25
4818,13762,3,33.0,2023-12-17,2024-01-01
4819,13764,2,28.71,2023-10-17,2023-11-10
4820,13766,3,9.75,2023-10-16,2023-10-31
4821,13771,1,13.84,2023-11-20,2023-12-16
4822,13774,2,12.94,2023-10-30,2023-11-15
4823,13776,3,26.14,2023-12-24,2024-01-19
4824,13780,2,5.68,2024-04-07,2024-04-29
4825,13783,3,26.92,2024-02-28,2024-03-18
4826,13784,3,16.44,2024-03-16,2024-04-05
4827,13785,1,8.15,2024-04-29,2024-05-18
4828,13789,1,23.31,2024-03-27,2024-04-17
4829,13792,2,24.49,2024-03-12,2024-04-07
4830,13794,1,25.79,2022-10-02,2022-10-16
4831,13795,1,31.41,2022-07-27,2022-08-19
4832,13797,1,5.69,2022-07-19,2022-08-11
4833,13798,1,19.02,2022-08-29,2022-09-26
4834,13801,2,29.11,2022-08-02,2022-08-18
4835,13802,2,21.49,2022-08-13,2022-09-04
4836,13803,3,23.31,2022-08-24,2022-09-13
4837,13804,1,32.77,2022-10-04,2022-10-23
4838,13806,3,32.34,2022-09-22,2022-10-12
4839,13808,3,22.92,2023-02-16,2023-03-06
4840,13809,2,10.05,2023-04-17,2023-05-07
4841,13810,1,16.22,2023-04-13,2023-05-01
4842,13811,1,6.14,2023-02-24,2023-03-15
4843,13812,1,35.0,2023-03-16,2023-04-07
4844,13814,3,30.64,2023-04-06,2023-04-18
4845,13818,2,27.43,2023-02-11,2023-03-06
4846,13820,1,31.22,2023-02-26,2023-03-21
4847,13825,2,10.05,2024-11-24,2024-12-12
4848,13829,3,13.67,2024-11-30,2024-12-16
4849,13830,1,22.0,2024-11-19,2024-12-10
4850,13838,2,6.59,2024-10-07,2024-11-02
4851,13839,1,33.43,2024-10-22,2024-11-13
4852,13840,2,5.55,2024-03-17,2024-04-03
4853,13842,3,30.65,2024-01-18,2024-02-01
4854,13845,2,17.71,2024-02-09,2024-02-26
4855,13847,2,34.89,2024-01-20,2024-02-11
4856,13848,2,11.24,2024-03-12,2024-04-04
4857,13853,3,9.09,2024-02-17,2024-03-11
4858,13857,1,22.35,2022-12-07,2022-12-24
4859,13858,3,25.33,2022-11-21,2022-12-12
4860,13860,3,5.52,2022-12-11,2023-01-04
4861,13861,2,9.89,2022-09-28,2022-10-20
4862,13863,2,8.43,2022-10-27,2022-11-12
4863,13864,3,26.36,2022-11-17,2022-12-09
4864,13865,1,6.22,2022-11-20,2022-12-06
4865,13866,1,10.72,2022-11-27,2022-12-14
4866,13871,2,6.59,2022-10-12,2022-10-25
4867,13872,3,20.19,2022-09-27,2022-10-09
4868,13874,2,32.28,2022-11-09,2022-11-27
4869,13875,3,10.12,2022-11-19,2022-12-03
4870,13876,3,12.37,2022-09-11,2022-10-01
4871,13881,2,15.84,2022-09-08,2022-09-26
4872,13882,3,11.71,2022-09-20,2022-10-09
4873,13884,3,17.79,2022-11-06,2022-11-22
4874,13887,1,14.85,2022-10-30,2022-11-17
4875,13891,2,15.06,2022-10-09,2022-10-25
4876,13893,3,32.35,2022-09-08,2022-09-27
4877,13894,1,23.99,2022-11-23,2022-12-12
4878,13898,2,34.38,2022-05-15,2022-05-26
4879,13901,2,18.34,2022-03-22,2022-04-09
4880,13908,2,27.05,2022-04-13,2022-05-01
4881,13911,1,28.75,2024-01-13,2024-02-04
4882,13916,3,30.94,2023-12-07,2023-12-24
4883,13921,3,31.47,2023-12-26,2024-01-14
4884,13925,2,8.03,2024-01-24,2024-02-10
4885,13926,3,26.4,2023-12-04,2023-12-22
4886,13932,3,8.19,2023-02-09,2023-03-06
4887,13934,3,28.9,2023-04-06,2023-04-19
4888,13940,3,19.08,2023-03-09,2023-03-28
4889,13941,1,7.28,2023-03-05,2023-03-26
4890,13942,1,28.91,2023-02-15,2023-03-08
4891,13943,3,28.71,2023-02-02,2023-02-19
4892,13944,1,20.25,2023-04-05,2023-04-20
4893,13945,2,33.76,2023-04-02,2023-04-24
4894,13953,1,30.48,2024-09-15,2024-10-06
4895,13957,3,22.39,2024-08-16,2024-09-01
4896,13958,1,28.1,2024-08-22,2024-09-06
4897,13959,1,30.96,2024-08-19,2024-09-03
4898,13960,2,18.19,2024-09-06,2024-09-21
4899,13963,2,10.31,2024-08-22,2024-09-14
4900,13966,3,14.58,2024-09-16,2024-10-02
4901,13969,1,19.63,2022-09-17,2022-10-10
4902,13971,1,12.66,2022-08-21,2022-09-11
4903,13975,2,17.66,2022-08-12,2022-08-31
4904,13976,2,28.19,2022-09-03,2022-09-18
4905,13979,2,8.71,2022-07-20,2022-08-09
4906,13982,3,25.94,2023-03-26,2023-04-10
4907,13985,1,8.88,2023-02-15,2023-03-04
4908,13987,3,31.05,2023-02-11,2023-03-02
4909,13990,3,24.06,2023-01-21,2023-02-09
4910,13991,3,6.2,2023-01-31,2023-02-17
4911,13992,1,14.78,2023-03-03,2023-03-27
4912,13994,3,5.66,2023-02-25,2023-03-16
4913,13996,3,30.27,2023-03-18,2023-04-08
4914,13998,1,6.13,2023-03-05,2023-03-23
4915,14002,2,29.71,2024-05-05,2024-05-18
4916,14003,1,27.02,2024-06-22,2024-07-14
4917,14006,3,25.07,2024-06-24,2024-07-08
4918,14008,2,28.15,2024-05-19,2024-05-31
